Make,Model,Modulation,Weight(oz),L(in),W(in),H(in),Torque(which_V),Torque(oz-in),Speed(which_V),Speed(s/60deg),Motor Type,Rotation,Gear Material,Typical Price
Ace RC,DS0606,Digital,2.12,1.59,0.8,1.56,4.8,58.0,4.8,0.07,Coreless,Dual Bearings,Plastic,83.95
Ace RC,DS0606,Digital,2.12,1.59,0.8,1.56,6.0,74.0,6.0,0.06,Coreless,Dual Bearings,Plastic,83.95
Ace RC,S1807MG,Analog,1.71,1.59,0.79,1.49,4.8,95.8,4.8,0.18,(add),Dual Bearings,Metal,39.99
Airtronics,94102Z,Analog,1.59,1.54,0.79,1.42,6.0,53.0,6.0,0.16,3-pole,Bushing,Plastic,11.99
Airtronics,94112Z,Analog,1.59,1.54,0.79,1.42,6.0,56.0,6.0,0.14,3-pole,Bushing,Plastic,(add)
Airtronics,94141Z,Analog,1.16,1.42,0.59,1.29,6.0,56.0,6.0,0.16,(add),Single Bearing,Metal,59.95
Airtronics,94322Z,Analog,1.59,1.54,0.79,1.42,6.0,58.0,6.0,0.15,3-pole,Single Bearing,Plastic,14.99
Airtronics,94357Z,Analog,2.06,1.54,0.79,1.47,4.8,100.0,4.8,0.09,Coreless,Dual Bearings,Hybrid,139.95
Airtronics,94360Z,Analog,2.18,1.54,0.79,1.47,4.8,100.0,4.8,0.09,Coreless,Dual Bearings,Metal,109.95
Airtronics,94362Z,Analog,2.11,1.54,0.79,1.47,4.8,100.0,4.8,0.09,Coreless,Dual Bearings,Metal,119.95
Airtronics,94451Z,Analog,1.94,1.54,0.79,1.47,4.8,88.0,4.8,0.15,(add),Dual Bearings,Plastic,109.95
Airtronics,94452Z,Analog,2.08,1.54,0.79,1.47,4.8,77.0,4.8,0.11,Coreless,Dual Bearings,Hybrid,114.95
Airtronics,94452Z,Analog,2.08,1.54,0.79,1.47,6.0,96.0,6.0,0.09,Coreless,Dual Bearings,Hybrid,114.95
Airtronics,94453Z,Analog,2.08,1.54,0.79,1.47,4.8,99.0,4.8,0.17,(add),Dual Bearings,Hybrid,114.95
Airtronics,94558Z,Digital,0.71,1.06,0.49,1.28,6.0,54.0,6.0,0.18,(add),Bushing,Hybrid,(add)
Airtronics,94722,Digital,1.55,1.54,0.79,1.42,4.8,50.0,4.8,0.17,(add),Single Bearing,Plastic,29.99
Airtronics,94731Z,Analog,1.80,1.54,0.79,1.4,4.8,77.0,4.8,0.17,Coreless,Dual Bearings,Plastic,74.95
Airtronics,94731Z,Analog,1.80,1.54,0.79,1.4,6.0,96.0,6.0,0.14,Coreless,Dual Bearings,Plastic,74.95
Airtronics,94732Z,Analog,1.80,1.54,0.79,1.38,4.8,68.0,4.8,0.19,Coreless,Dual Bearings,(add),89.95
Airtronics,94734Z,Analog,1.73,1.46,0.79,1.38,4.8,73.0,4.8,0.4,(add),Dual Bearings,Hybrid,63.95
Airtronics,94734Z,Analog,1.73,1.46,0.79,1.38,6.0,91.0,6.0,0.32,(add),Dual Bearings,Hybrid,63.95
Airtronics,94737Z,Analog,1.94,1.54,0.79,1.38,4.8,56.0,4.8,0.15,Coreless,Dual Bearings,Hybrid,87.95
Airtronics,94737Z,Analog,1.94,1.54,0.79,1.38,6.0,70.0,6.0,0.12,Coreless,Dual Bearings,Hybrid,87.95
Airtronics,94738Z,(add),1.94,1.54,0.79,1.38,4.8,70.0,4.8,0.2,Coreless,Dual Bearings,Metal,74.95
Airtronics,94738Z,(add),1.94,1.54,0.79,1.38,6.0,88.0,6.0,0.16,Coreless,Dual Bearings,Metal,74.95
Airtronics,94739Z,Analog,1.87,1.46,0.75,1.44,4.8,74.0,4.8,0.42,(add),Dual Bearings,Hybrid,59.95
Airtronics,94739Z,Analog,1.87,1.46,0.75,1.44,6.0,93.0,6.0,0.34,(add),Dual Bearings,Hybrid,59.95
Airtronics,94742Z,(add),1.87,1.46,0.75,1.38,4.8,74.0,4.8,0.42,(add),(add),(add),44.95
Airtronics,94742Z,(add),1.87,1.46,0.75,1.38,6.0,93.0,6.0,0.34,(add),(add),(add),44.95
Airtronics,94743Z,Analog,1.80,1.54,0.79,1.38,4.8,67.0,4.8,0.19,5-pole,Dual Bearings,Hybrid,44.95
Airtronics,94743Z,Analog,1.80,1.54,0.79,1.38,6.0,84.0,6.0,0.15,5-pole,Dual Bearings,Hybrid,44.95
Airtronics,94746M,Digital,1.76,1.59,0.83,1.04,4.8,80.0,4.8,0.1,3-pole,Dual Bearings,Metal,99.99
Airtronics,94746M,Digital,1.76,1.59,0.83,1.04,6.0,89.0,6.0,0.08,3-pole,Dual Bearings,Metal,99.99
Airtronics,94751Z,Digital,1.80,1.54,0.79,1.4,4.8,73.0,4.8,0.16,Coreless,Dual Bearings,Plastic,(add)
Airtronics,94751Z,Digital,1.80,1.54,0.79,1.4,6.0,91.0,6.0,0.13,Coreless,Dual Bearings,Plastic,(add)
Airtronics,94755Z,Digital,2.04,1.54,0.79,1.4,4.8,65.0,4.8,0.14,Coreless,Dual Bearings,Hybrid,99.99
Airtronics,94755Z,Digital,2.04,1.54,0.79,1.4,6.0,81.0,6.0,0.11,Coreless,Dual Bearings,Hybrid,99.99
Airtronics,94757Z,Digital,2.04,1.54,0.79,1.4,4.8,96.0,4.8,0.09,(add),Dual Bearings,Metal,(add)
Airtronics,94758Z,Digital,2.12,1.54,0.79,1.47,4.8,92.0,4.8,0.07,Coreless,Dual Bearings,Metal,86.99
Airtronics,94761Z,Digital,0.81,1.06,0.47,1.18,4.8,55.0,4.8,0.15,3-pole,Dual Bearings,Metal,59.99
Airtronics,94761Z,Digital,0.81,1.06,0.47,1.18,6.0,66.0,6.0,0.12,3-pole,Dual Bearings,Metal,59.99
Airtronics,94762,Digital,1.94,1.54,0.79,1.61,4.8,92.0,4.8,0.22,(add),Dual Bearings,Metal,49.99
Airtronics,94771M,Digital,1.98,1.54,0.79,1.47,4.8,82.0,4.8,0.13,3-pole,Dual Bearings,Metal,108.99
Airtronics,94772M,(add),1.98,1.54,0.79,1.47,4.8,67.0,4.8,0.11,3-pole,Dual Bearings,Metal,69.99
Airtronics,94772M,(add),1.98,1.54,0.79,1.47,6.0,83.0,6.0,0.09,3-pole,Dual Bearings,Metal,69.99
Airtronics,94774,Digital,1.98,1.54,0.78,1.5,4.8,92.0,4.8,0.13,(add),Dual Bearings,Metal,84.99
Airtronics,94820,Digital,1.04,1.26,0.63,1.24,4.8,76.0,4.8,0.22,3-pole,Dual Bearings,Metal,57.99
Airtronics,94820,Digital,1.04,1.26,0.63,1.24,6.0,90.0,6.0,0.18,3-pole,Dual Bearings,Metal,57.99
Airtronics,94831Z,Analog,1.09,1.46,0.71,1.18,6.0,61.0,6.0,0.16,5-pole,Single Bearing,Hybrid,32.95
Airtronics,94921Z,(add),1.69,1.74,0.87,0.92,4.8,56.0,4.8,0.16,Coreless,(add),(add),82.95
Airtronics,94921Z,(add),1.69,1.74,0.87,0.92,6.0,70.0,6.0,0.13,Coreless,(add),(add),82.95
Airtronics,94924Z,(add),1.60,1.74,0.87,0.92,4.8,77.0,4.8,0.48,5-pole,(add),(add),74.95
Airtronics,94924Z,(add),1.60,1.74,0.87,0.92,6.0,96.0,6.0,0.38,5-pole,(add),(add),74.95
Airtronics,94930,Digital,2.15,1.59,0.83,1.5,4.8,88.0,4.8,0.13,Brushless,Dual Bearings,Metal,199.99
Airtronics,94950,Digital,2.15,1.59,0.83,1.5,4.8,100.0,4.8,0.13,Coreless,Dual Bearings,Metal,179.99
Airtronics,97738Z,Analog,1.94,1.54,0.79,1.38,4.8,70.0,4.8,0.2,(add),Dual Bearings,Hybrid,(add)
Airtronics,97738Z,Analog,1.94,1.54,0.79,1.38,6.0,88.0,6.0,0.16,(add),Dual Bearings,Hybrid,(add)
Align,DS510,Digital,0.91,1.38,0.59,1.15,4.8,51.4,4.8,0.13,Coreless,Dual Bearings,Plastic,49.99
Align,DS510,Digital,0.91,1.38,0.59,1.15,6.0,63.9,6.0,0.11,Coreless,Dual Bearings,Plastic,49.99
Align,DS510M,Digital,1.02,1.38,0.59,1.15,4.8,51.4,4.8,0.13,Coreless,Dual Bearings,Metal,62.99
